10,1000,1
10,1000,1024
10,1000,4096
10,4096,1
10,4096,4096
10,4096,9216
100,1000,1
100,1000,1024
100,1000,4096
100,4096,1
100,4096,4096
1000,196,1
1000,196,512
102,1000,1
102,1000,1024
102,1000,4096
102,4096,1
102,4096,4096
104,1000,1
104,1000,1024
104,1000,4096
104,4096,1
104,4096,4096
106,1000,1
106,1000,1024
106,1000,4096
106,4096,1
106,4096,4096
108,1000,1
108,1000,1024
108,1000,4096
108,4096,1
108,4096,4096
110,1000,1
110,1000,1024
110,1000,4096
110,4096,1
110,4096,4096
112,1000,1
112,1000,1024
112,1000,4096
112,196,1
112,196,512
112,4096,1
112,4096,4096
114,1000,1
114,1000,1024
114,1000,4096
114,4096,1
114,4096,4096
116,1000,1
116,1000,1024
116,1000,4096
116,4096,1
116,4096,4096
118,1000,1
118,1000,1024
118,1000,4096
118,4096,1
118,4096,4096
12,1000,1
12,1000,1024
12,1000,4096
12,4096,1
12,4096,4096
12,4096,9216
120,1000,1
120,1000,1024
120,1000,4096
120,4096,1
120,4096,4096
122,1000,1
122,1000,1024
122,1000,4096
122,4096,1
122,4096,4096
124,1000,1
124,1000,1024
124,1000,4096
124,4096,1
124,4096,4096
126,1000,1
126,1000,1024
126,1000,4096
126,4096,1
128,1000,1
128,1000,1024
128,1000,4096
128,169,1728
128,196,1
128,196,512
128,196,528
128,196,800
128,4096,1
128,4096,4096
128,4096,9216
128,49,1
128,49,1200
128,49,800
128,49,832
128,729,1200
128,784,1
128,784,256
128,784,288
128,784,32
128,784,864
14,1000,1
14,1000,1024
14,1000,4096
14,4096,1
14,4096,4096
14,4096,9216
144,196,1
144,196,512
16,1000,1
16,1000,1024
16,1000,4096
16,196,1
16,196,480
16,3136,1
16,3136,128
16,3136,64
16,4096,1
16,4096,4096
16,4096,9216
16,784,1
16,784,192
160,196,1
160,196,512
160,196,528
160,49,1
160,49,832
18,1000,1
18,1000,1024
18,1000,4096
18,4096,1
18,4096,4096
18,4096,9216
192,169,1728
192,196,1
192,196,432
192,196,48
192,196,480
192,3136,1
192,3136,576
192,49,1
192,49,832
192,784,1
