64,64,64
64,64,128
64,64,256
64,64,512
64,64,1024
64,64,2048
64,128,64
64,128,128
64,128,256
64,128,512
64,128,1024
64,128,2048
64,256,64
64,256,128
64,256,256
64,256,512
64,256,1024
64,256,2048
64,512,64
64,512,128
64,512,256
64,512,512
64,512,1024
64,512,2048
64,1024,64
64,1024,128
64,1024,256
64,1024,512
64,1024,1024
64,1024,2048
64,2048,64
64,2048,128
64,2048,256
64,2048,512
64,2048,1024
64,2048,2048
128,64,64
128,64,128
128,64,256
128,64,512
128,64,1024
128,64,2048
128,128,64
128,128,128
128,128,256
128,128,512
128,128,1024
128,128,2048
128,256,64
128,256,128
128,256,256
128,256,512
128,256,1024
128,256,2048
128,512,64
128,512,128
128,512,256
128,512,512
128,512,1024
128,512,2048
128,1024,64
128,1024,128
128,1024,256
128,1024,512
128,1024,1024
128,1024,2048
128,2048,64
128,2048,128
128,2048,256
128,2048,512
128,2048,1024
128,2048,2048
256,64,64
256,64,128
256,64,256
256,64,512
256,64,1024
256,64,2048
256,128,64
256,128,128
256,128,256
256,128,512
256,128,1024
256,128,2048
256,256,64
256,256,128
256,256,256
256,256,512
256,256,1024
256,256,2048
256,512,64
256,512,128
256,512,256
256,512,512
256,512,1024
256,512,2048
256,1024,64
256,1024,128
256,1024,256
256,1024,512
256,1024,1024
256,1024,2048
256,2048,64
256,2048,128
256,2048,256
256,2048,512
256,2048,1024
256,2048,2048
512,64,64
512,64,128
512,64,256
512,64,512
512,64,1024
512,64,2048
512,128,64
512,128,128
512,128,256
512,128,512
512,128,1024
512,128,2048
512,256,64
512,256,128
512,256,256
512,256,512
512,256,1024
512,256,2048
512,512,64
512,512,128
512,512,256
512,512,512
512,512,1024
512,512,2048
512,1024,64
512,1024,128
512,1024,256
512,1024,512
512,1024,1024
512,1024,2048
512,2048,64
512,2048,128
512,2048,256
512,2048,512
512,2048,1024
512,2048,2048
1024,64,64
1024,64,128
1024,64,256
1024,64,512
1024,64,1024
1024,64,2048
1024,128,64
1024,128,128
1024,128,256
1024,128,512
1024,128,1024
1024,128,2048
1024,256,64
1024,256,128
1024,256,256
1024,256,512
1024,256,1024
1024,256,2048
1024,512,64
1024,512,128
1024,512,256
1024,512,512
1024,512,1024
1024,512,2048
1024,1024,64
1024,1024,128
1024,1024,256
1024,1024,512
1024,1024,1024
1024,1024,2048
1024,2048,64
1024,2048,128
1024,2048,256
1024,2048,512
1024,2048,1024
1024,2048,2048
2048,64,64
2048,64,128
2048,64,256
2048,64,512
2048,64,1024
2048,64,2048
2048,128,64
2048,128,128
2048,128,256
2048,128,512
2048,128,1024
2048,128,2048
2048,256,64
2048,256,128
2048,256,256
2048,256,512
2048,256,1024
2048,256,2048
2048,512,64
2048,512,128
2048,512,256
2048,512,512
2048,512,1024
2048,512,2048
2048,1024,64
2048,1024,128
2048,1024,256
2048,1024,512
2048,1024,1024
2048,1024,2048
2048,2048,64
2048,2048,128
2048,2048,256
2048,2048,512
2048,2048,1024
2048,2048,2048
